YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,8,26,3,EV,5170,N611QX,MSP,BNA,morning,942,delayed,14,956,121,108,91,short,1127,3,1113,1130,17,0,0,,0,0,17,0,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,7,6,WN,1040,N270WN,BNA,EWR,morning,817,on_time,7,824,130,121,108,short,1112,6,1130,1118,-12,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,6,11,4,MQ,3123,N534MQ,ORD,BNA,afternoon,1830,delayed,33,1903,100,95,58,short,2001,4,1845,2005,80,0,0,,20,0,0,60,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,4,5,AA,1193,N470AA,DFW,BNA,morning,836,on_time,11,847,105,95,80,short,1007,4,1025,1011,-14,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,9,11,5,WN,562,N691WN,BNA,HOU,afternoon,1743,delayed,14,1757,125,126,106,short,1943,6,1920,1949,29,0,0,,1,0,0,28,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,9,11,5,WN,2136,N8658A,BNA,DEN,evening,1852,on_time,15,1907,170,163,142,medium,2029,6,2035,2035,0,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,2,7,WN,889,N234WN,BNA,BWI,afternoon,1813,delayed,11,1824,105,126,87,short,2051,28,2035,2119,44,0,0,,21,0,2,21,0,not_freezing,hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,5,6,WN,2671,N919WN,BNA,LGA,evening,1829,on_time,9,1838,130,118,103,short,2121,6,2140,2127,-13,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,6,2,US,1715,N814AW,CLT,BNA,afternoon,1637,delayed,20,1657,82,86,60,short,1657,6,1631,1703,32,0,0,,4,0,24,4,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,27,5,MQ,3152,N543MQ,ORD,BNA,afternoon,1323,on_time,15,1338,86,79,59,short,1437,5,1451,1442,-9,0,0,,,,,,,not_freezing,not_hot,no_snow,high_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,1,2,WN,3159,N959WN,DCA,BNA,afternoon,1340,delayed,13,1353,115,116,98,short,1431,5,1345,1436,51,0,0,,1,0,50,0,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,27,1,WN,2974,N684WN,BNA,PIT,evening,1815,on_time,14,1829,85,87,68,short,2037,5,2045,2042,-3,0,0,,,,,,,not_freezing,hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
